review_number,entity_type,source_iri,source_label,source_definition,candidate_rank,target_iri,target_label,target_definition,label_similarity,context_similarity,combined_similarity,ranking_band,reciprocal_best,manual_classification,assurance_relevance,reviewer_decision,review_notes
1,individual,https://example.org/mod-sbd#DSTL-SbD06-Criterion_02,Security Authorisation Decisions,,1,https://example.org/ontology/sora#Authorisation,Authorisation,,0.722307,0.47805,0.636818,medium review priority,True,Weak,,Investigate,
2,individual,https://example.org/mod-sbd#DSTL-SbD04-Criterion_03,Data Protection and Resilience,,1,https://example.org/ontology/sora#Resilience,Resilience,,0.649221,0.420815,0.569279,medium review priority,True,Partial,,Accept,
3,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_02,Secure Acquisition and Development,,1,https://example.org/ontology/sora#Development,Development,,0.628891,0.441637,0.563352,medium review priority,True,Partial,,Accept,
4,individual,https://example.org/mod-sbd#DSTL-SbD05-C1-R1,DSTL-SbD05-C1-R1 — Supply Chain Risk Management,,1,https://example.org/ontology/sora#SupplyChainSecurityManagement,Supply Chain Security Management,,0.665827,0.354417,0.556833,medium review priority,True,Partial,,Accept,
5,individual,https://example.org/mod-sbd#SbD_06,"Assure, Verify and Test",,1,https://example.org/ontology/sora#Verify,Verify,,0.61517,0.44626,0.556052,medium review priority,True,Partial,,Accept,
6,individual,https://example.org/mod-sbd#SbD_03,Implement Continuous Risk Management,,1,https://example.org/ontology/sora#Implement,Implement,,0.604327,0.382625,0.526732,medium review priority,True,Weak,,Investigate,
7,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R4-C2,DSTL-SbD03-C1-R4-C2 — Analyse cyber risks.,,1,https://example.org/ontology/sora#Analyse,Analyse,,0.573049,0.346428,0.493732,medium review priority,True,Partial,,Accept,
8,individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_03,Communication and Coordination,,1,https://example.org/ontology/sora#AE-OSO16-I-Criterion_02,Coordination training,,0.586455,0.293029,0.483756,medium review priority,True,Weak,,Investigate,
9,individual,https://example.org/mod-sbd#DSTL-SbD07-Criterion_03,Monitoring and Detection,,1,https://example.org/ontology/sora#AE-OSO06-I-Criterion_01,C3 performance and monitoring,,0.53214,0.252442,0.434246,low review priority,True,Partial,,Accept,
10,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R6-C2,DSTL-SbD02-C1-R6-C2 — Communicate those responsibilities.,,1,https://example.org/ontology/sora#Communicate,Communicate,,0.493165,0.32255,0.43345,low review priority,True,Partial,,Accept,
11,individual,https://example.org/mod-sbd#DSTL-SbD01-C1-R2-C2,DSTL-SbD01-C1-R2-C2 — Consider stakeholder needs and expectations in cybersecurity risk management.,,1,https://example.org/ontology/sora#Stakeholder,Stakeholder,,0.483299,0.257038,0.404108,low review priority,True,Weak,,Investigate,
12,individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_02,Risk Management Integration,,1,https://example.org/ontology/sora#CY-OSO01-A-Criterion_04,Risk management programme (evidence),,0.403056,0.330071,0.377512,low review priority,True,Partial,,Accept,
13,individual,https://example.org/mod-sbd#DSTL-SbD03-C4-R1-C2,DSTL-SbD03-C4-R1-C2 — Assess vulnerabilities.,,1,https://example.org/ontology/sora#Assess,Assess,,0.38617,0.350512,0.37369,low review priority,True,Partial,,Accept,
14,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_03,Security Plan,,1,https://example.org/ontology/sora#CY-OSO01-I-Criterion_02,IT and data security,,0.470776,0.185817,0.37104,low review priority,True,Weak,,Investigate,
15,individual,https://example.org/mod-sbd#DSTL-SbD04-Criterion_04,Control Identification,,1,https://example.org/ontology/sora#AccessControl,Access control,,0.414707,0.286081,0.369688,low review priority,True,Weak,,Investigate,
16,individual,https://example.org/mod-sbd#DSTL-SbD07-Criterion_05,Incident Recovery,,1,https://example.org/ontology/sora#Recover,Recover,,0.546564,0.0,0.355267,low review priority,True,Partial,,Accept,
17,individual,https://example.org/mod-sbd#DSTL-SbD02-C2-R5-C2,DSTL-SbD02-C2-R5-C2 — Derive security requirements from the risk assessment.,,1,https://example.org/ontology/sora#CY-OSO05-A-Criterion_01,Security risk assessment (evidence),,0.400067,0.270092,0.354576,low review priority,True,Partial,,Accept,
18,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R4-C2,DSTL-SbD04-C3-R4-C2 — Document that impact.,,1,https://example.org/ontology/sora#Document,Document,"A documentary information artefact used to define, support, or evidence SORA compliance.",0.486168,0.070849,0.340806,low review priority,True,Partial,,Accept,
19,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R3-C2,DSTL-SbD02-C4-R3-C2 — Maintain the attack scenarios.,,1,https://example.org/ontology/sora#Maintain,Maintain,,0.389313,0.23682,0.33594,low review priority,True,Partial,,Accept,
