No.,Matcher,Configuration,Source Ontology,Source Entity,Source IRI,Target Ontology,Target Entity,Target IRI,Profile,Confidence
1,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Activity,https://example.org/mod-sbd#Activity,SORA v2.5,Activity,https://example.org/ontology/sora#Activity,Classes and individuals,0.5
2,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Component,https://example.org/mod-sbd#Component,SORA v2.5,Component,https://example.org/ontology/sora#Component,Classes and individuals,0.72
3,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Cyber Risk,https://example.org/mod-sbd#CyberRisk,SORA v2.5,Cyber Risk,https://example.org/ontology/sora#CyberRisk,Classes and individuals,1.06
4,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,DSTL-Sb D03-Criterion 01,https://example.org/mod-sbd#DSTL-SbD03-Criterion_01,SORA v2.5,CY-OSO01-I-Criterion 04,https://example.org/ontology/sora#CY-OSO01-I-Criterion_04,Classes and individuals,0.85
5,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,DSTL-Sb D05-Criterion 01,https://example.org/mod-sbd#DSTL-SbD05-Criterion_01,SORA v2.5,CY-OSO03-I-Criterion 02,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,Classes and individuals,0.95
6,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,DSTL-Sb D05-Criterion 02,https://example.org/mod-sbd#DSTL-SbD05-Criterion_02,SORA v2.5,CY-OSO03-I-Criterion 02,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,Classes and individuals,0.95
7,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,DSTL-Sb D07-Criterion 02,https://example.org/mod-sbd#DSTL-SbD07-Criterion_02,SORA v2.5,Report,https://example.org/ontology/sora#Report,Classes and individuals,0.88
8,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Data,https://example.org/mod-sbd#Data,SORA v2.5,Data,https://example.org/ontology/sora#Data,Classes and individuals,0.76
9,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Human Error,https://example.org/mod-sbd#HumanError,SORA v2.5,Human Error,https://example.org/ontology/sora#HumanError,Classes and individuals,0.92
10,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Information Artifact,https://example.org/mod-sbd#InformationArtifact,SORA v2.5,Information Artifact,https://example.org/ontology/sora#InformationArtifact,Classes and individuals,0.81
11,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Lifecycle Context,https://example.org/mod-sbd#LifecycleContext,SORA v2.5,Lifecycle Context,https://example.org/ontology/sora#LifecycleContext,Classes and individuals,0.85
12,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Organisation,https://example.org/mod-sbd#Organisation,SORA v2.5,Organisation,https://example.org/ontology/sora#Organisation,Classes and individuals,0.5
13,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Programme,https://example.org/mod-sbd#Programme,SORA v2.5,Programme,https://example.org/ontology/sora#Programme,Classes and individuals,0.75
14,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Risk,https://example.org/mod-sbd#Risk,SORA v2.5,Risk,https://example.org/ontology/sora#Risk,Classes and individuals,0.81
15,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Security Mechanism,https://example.org/mod-sbd#SecurityMechanism,SORA v2.5,Security Mechanism,https://example.org/ontology/sora#SecurityMechanism,Classes and individuals,0.6
16,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Security Plan,https://example.org/mod-sbd#SecurityPlan,SORA v2.5,Plan,https://example.org/ontology/sora#Plan,Classes and individuals,0.51
17,LogMap,Default; logical-impact check disabled,MOD Secure by Design v1.0,Security Principle Or Practice,https://example.org/mod-sbd#SecurityPrincipleOrPractice,SORA v2.5,Security Principle Or Practice,https://example.org/ontology/sora#SecurityPrincipleOrPractice,Classes and individuals,0.6
