mapping_id,matchers,shared_mapping,source_type,target_type,source_iri,source_label,source_definition,target_iri,target_label,target_definition,logmap_score,aml_score,manual_classification,assurance_relevance,reviewer_decision,review_notes
1,LogMap;AML,True,class,class,https://example.org/mod-sbd#Activity,Activity,"An action, process or practice performed to satisfy or support SbD requirements.",https://example.org/ontology/sora#Activity,Activity,"A performed action, process, or event relevant to satisfying or evidencing a SORA requirement.",0.5,0.9801,,,,
2,LogMap;AML,True,class,class,https://example.org/mod-sbd#Component,Component,A component acquired for a programme or capability and considered in cyber-resilient design.,https://example.org/ontology/sora#Component,Component,"A hardware, software, material, equipment, or other constituent element relevant to the UAS or support system.",0.72,0.99,,,,
3,AML,False,class,class,https://example.org/mod-sbd#CriticalData,Critical Data,"Data whose location, movement and compromise effects require explicit understanding.",https://example.org/ontology/sora#SafetyCriticalData,SafetyCriticalData,Data whose compromise or unavailability can affect safety-critical activities.,,0.7239,,,,
4,LogMap;AML,True,class,class,https://example.org/mod-sbd#CyberRisk,Cyber Risk,"Risk arising from cybersecurity threats, vulnerabilities, dependencies or failures that may affect programme capabilities or essential functions.",https://example.org/ontology/sora#CyberRisk,CyberRisk,Risk arising from cyber threats affecting the UAS operation or its supporting systems.,1.06,0.9801,,,,
5,LogMap,False,individual,individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_01,Risk Management,,https://example.org/ontology/sora#CY-OSO01-I-Criterion_04,Risk management programme,,0.85,,,,,
6,LogMap,False,individual,individual,https://example.org/mod-sbd#DSTL-SbD05-Criterion_01,Supply Chain Risk Management,,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,Supply chain management,,0.95,,,,,
7,LogMap,False,individual,individual,https://example.org/mod-sbd#DSTL-SbD05-Criterion_02,Supply Chain Risk Management,,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,Supply chain management,,0.95,,,,,
8,LogMap,False,individual,individual,https://example.org/mod-sbd#DSTL-SbD07-Criterion_02,Reporting,,https://example.org/ontology/sora#Report,Report,,0.88,,,,,
9,LogMap;AML,True,class,class,https://example.org/mod-sbd#Data,Data,"Information essential to programme functioning or security that may be stored, transferred, inventoried, protected or compromised.",https://example.org/ontology/sora#Data,Data,"Data or information relevant to the UAS, operation, or assurance activities.",0.76,0.9801,,,,
10,AML,False,class,class,https://example.org/mod-sbd#DesignStandard,Design Standard,A design standard into which lessons learned and improvement information may be incorporated.,https://example.org/ontology/sora#AirworthinessDesignStandard,AirworthinessDesignStandard,An Airworthiness Design Standard used for UAS components essential to safe operations.,,0.6178,,,,
11,LogMap;AML,True,class,class,https://example.org/mod-sbd#HumanError,Human Error,Human error as a socio-technical contributor to cyber risk.,https://example.org/ontology/sora#HumanError,HumanError,A human action/error capable of adversely affecting the safety of the operation.,0.92,0.9878,,,,
12,LogMap;AML,True,class,class,https://example.org/mod-sbd#InformationArtifact,Information Artefact,"A document, record, plan, assessment, inventory, reference or other information-bearing artefact used in programme delivery or assurance.",https://example.org/ontology/sora#InformationArtifact,InformationArtifact,"A data, document, record, or assurance artefact that can be created, maintained, reviewed, or supplied as part of SORA assurance.",0.81,0.9801,,,,
13,LogMap;AML,True,class,class,https://example.org/mod-sbd#LifecycleContext,Lifecycle Context,A lifecycle stage or cross-lifecycle context in which an SbD requirement may apply.,https://example.org/ontology/sora#LifecycleContext,LifecycleContext,"A controlled lifecycle or operational context in which a requirement, activity, or assurance expectation applies.",0.85,0.9801,,,,
14,AML,False,class,class,https://example.org/mod-sbd#OperationalContext,Operational Context,The operational circumstances in which capabilities are provided and used.,https://example.org/ontology/sora#OperationalContextElement,OperationalContextElement,"A non-actor element describing an operational boundary, configuration, resource, or environmental condition.",,0.6496,,,,
15,LogMap;AML,True,class,class,https://example.org/mod-sbd#Organisation,Organisation,"An organisational entity that owns, governs, staffs or performs programme or security activities.",https://example.org/ontology/sora#Organisation,Organisation,An organisational actor participating in the SORA assurance or UAS operational context.,0.5,0.9817,,,,
16,AML,False,class,class,https://example.org/mod-sbd#Personnel,Personnel,"Staff or personnel performing programme, security, operational, disposal, response or recovery activities.",https://example.org/ontology/sora#Person,Person,A human actor participating in the SORA assurance or UAS operational context.,,0.69,,,,
