individual_candidate_number,candidate_id,entity_type,source_iri,source_label,source_definition,target_iri,target_label,target_definition,candidate_rank,combined_similarity,ranking_band,reciprocal_best,manual_classification,review_basis
1,54,individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_01,Risk Management,,https://example.org/ontology/sora#CY-OSO01-I-Criterion_04,Risk management programme,,1,0.657712,high review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
2,55,individual,https://example.org/mod-sbd#DSTL-SbD05-Criterion_01,Supply Chain Risk Management,,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,Supply chain management,,1,0.620404,high review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
3,56,individual,https://example.org/mod-sbd#DSTL-SbD06-Criterion_02,Security Authorisation Decisions,,https://example.org/ontology/sora#Authorisation,Authorisation,,1,0.478023,medium review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
4,57,individual,https://example.org/mod-sbd#SbD_06,"Assure, Verify and Test",,https://example.org/ontology/sora#Verify,Verify,,1,0.446263,medium review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
5,58,individual,https://example.org/mod-sbd#DSTL-SbD02-Criterion_02,Secure Acquisition and Development,,https://example.org/ontology/sora#Development,Development,,1,0.441645,medium review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
6,59,individual,https://example.org/mod-sbd#DSTL-SbD04-Criterion_03,Data Protection and Resilience,,https://example.org/ontology/sora#Resilience,Resilience,,1,0.420851,medium review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
7,60,individual,https://example.org/mod-sbd#SbD_03,Implement Continuous Risk Management,,https://example.org/ontology/sora#Implement,Implement,,1,0.384604,medium review priority,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
8,61,individual,https://example.org/mod-sbd#DSTL-SbD03-C4-R1-C2,DSTL-SbD03-C4-R1-C2 — Assess vulnerabilities.,,https://example.org/ontology/sora#Assess,Assess,,1,0.350435,medium review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
9,62,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R4-C2,DSTL-SbD03-C1-R4-C2 — Analyse cyber risks.,,https://example.org/ontology/sora#Analyse,Analyse,,1,0.346333,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
10,63,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R6-C2,DSTL-SbD02-C1-R6-C2 — Communicate those responsibilities.,,https://example.org/ontology/sora#Communicate,Communicate,,1,0.322513,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
11,64,individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_03,Communication and Coordination,,https://example.org/ontology/sora#AE-OSO16-I-Criterion_01,Coordination procedures,,1,0.296991,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
12,65,individual,https://example.org/mod-sbd#DSTL-SbD04-Criterion_04,Control Identification,,https://example.org/ontology/sora#CY-OSO06-I-Criterion_03,Access control,,1,0.286131,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
13,66,individual,https://example.org/mod-sbd#DSTL-SbD02-C2-R5-C2,DSTL-SbD02-C2-R5-C2 — Derive security requirements from the risk assessment.,,https://example.org/ontology/sora#CY-OSO05-A-Criterion_01,Security risk assessment (evidence),,1,0.271414,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
14,67,individual,https://example.org/mod-sbd#DSTL-SbD04-C4-R1-C3,DSTL-SbD04-C4-R1-C3 — Report on security controls at programme level through life.,,https://example.org/ontology/sora#Report,Report,,1,0.264904,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
15,68,individual,https://example.org/mod-sbd#DSTL-SbD07-C1-R3-C1,DSTL-SbD07-C1-R3-C1 — Train staff in secure disposal procedures.,,https://example.org/ontology/sora#Train,Train,,1,0.263085,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
16,69,individual,https://example.org/mod-sbd#DSTL-SbD01-C1-R2-C2,DSTL-SbD01-C1-R2-C2 — Consider stakeholder needs and expectations in cybersecurity risk management.,,https://example.org/ontology/sora#Stakeholder,Stakeholder,,1,0.25745,low review priority,True,Weak,"Manual comparison of individual types, labels, provenance and asserted ontology context"
17,70,individual,https://example.org/mod-sbd#DSTL-SbD04-C4-R1-C2,DSTL-SbD04-C4-R1-C2 — Monitor security controls at programme level through life.,,https://example.org/ontology/sora#Monitor,Monitor,,1,0.252643,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
18,71,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R2-C1,DSTL-SbD02-C4-R2-C1 — Review and update threat assessments routinely.,,https://example.org/ontology/sora#Update,Update,,1,0.252555,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
19,72,individual,https://example.org/mod-sbd#DSTL-SbD07-Criterion_03,Monitoring and Detection,,https://example.org/ontology/sora#AE-OSO06-I-Criterion_01,C3 performance and monitoring,,1,0.252457,low review priority,True,Partial,"Manual comparison of individual types, labels, provenance and asserted ontology context"
