entity_type,source_iri,source_label,source_definition,target_iri,target_label,target_definition,candidate_rank,combined_similarity,ranking_band,reciprocal_best
class,https://example.org/mod-sbd#Accountability,Accountability,Clear assignment of responsibility for cybersecurity and risk decisions.,https://example.org/ontology/sora#RobustnessLevel,RobustnessLevel,"The SORA Low, Medium, or High robustness level used in OSO requirement assignment. Not Required (NR) is an assignment status, not a robustness level.",1,0.077242,very low textual similarity,True
class,https://example.org/mod-sbd#Accountability,Accountability,Clear assignment of responsibility for cybersecurity and risk decisions.,https://example.org/ontology/sora#OSORobustnessAssignment,OSORobustnessAssignment,A reified assignment connecting an OSO and SAIL context to the required robustness level.,2,0.060754,very low textual similarity,False
class,https://example.org/mod-sbd#Accountability,Accountability,Clear assignment of responsibility for cybersecurity and risk decisions.,https://example.org/ontology/sora#CybersecurityAccreditation,CybersecurityAccreditation,An industry-recognised cybersecurity accreditation.,3,0.030461,very low textual similarity,False
class,https://example.org/mod-sbd#AcquireSecurely,Acquire Securely,"Acquire systems, services, components or resources with cybersecurity considerations built into procurement.",https://example.org/ontology/sora#Software,Software,"Software used by the UAS, ground systems, maintenance systems, or supporting services.",1,0.089594,very low textual similarity,False
class,https://example.org/mod-sbd#AcquireSecurely,Acquire Securely,"Acquire systems, services, components or resources with cybersecurity considerations built into procurement.",https://example.org/ontology/sora#Firmware,Firmware,Firmware used within UAS or support components.,2,0.061753,very low textual similarity,False
class,https://example.org/mod-sbd#AcquireSecurely,Acquire Securely,"Acquire systems, services, components or resources with cybersecurity considerations built into procurement.",https://example.org/ontology/sora#Interface,Interface,An interface through which actors or systems interact.,3,0.043797,very low textual similarity,False
class,https://example.org/mod-sbd#AcquisitionAndSupplyChainActivity,Acquisition and Supply-Chain Activity,"An activity used to acquire securely, conduct supplier due diligence, obtain assurance or flow requirements through the supply chain.",https://example.org/ontology/sora#SecurityEventType,SecurityEventType,"A controlled type of security event or indicator, such as anomaly, suspicious activity, malicious activity, or security breach.",1,0.047374,very low textual similarity,False
class,https://example.org/mod-sbd#AcquisitionAndSupplyChainActivity,Acquisition and Supply-Chain Activity,"An activity used to acquire securely, conduct supplier due diligence, obtain assurance or flow requirements through the supply chain.",https://example.org/ontology/sora#Record,Record,"A retained record of an activity, status, qualification, maintenance action, or other assurance-relevant fact.",2,0.046294,very low textual similarity,False
class,https://example.org/mod-sbd#AcquisitionAndSupplyChainActivity,Acquisition and Supply-Chain Activity,"An activity used to acquire securely, conduct supplier due diligence, obtain assurance or flow requirements through the supply chain.",https://example.org/ontology/sora#MaintenanceRecord,MaintenanceRecord,A retained record of maintenance activity or status.,3,0.044324,very low textual similarity,False
class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",https://example.org/ontology/sora#SecurityEventType,SecurityEventType,"A controlled type of security event or indicator, such as anomaly, suspicious activity, malicious activity, or security breach.",1,0.125398,very low textual similarity,True
class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",https://example.org/ontology/sora#AdverseEnvironmentalCondition,AdverseEnvironmentalCondition,An adverse environmental condition relevant to UAS design or operation.,2,0.084651,very low textual similarity,False
class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",https://example.org/ontology/sora#Hazard,Hazard,A hazard or hazardous condition that can contribute to adverse safety outcomes.,3,0.076787,very low textual similarity,False
class,https://example.org/mod-sbd#AllocateResources,Allocate Resources,"Allocate time, authority, funding, personnel or support needed for cybersecurity activities.",https://example.org/ontology/sora#ComputerSystem,ComputerSystem,"A computer-based system relevant to business, maintenance, or UAS support activities.",1,0.067822,very low textual similarity,False
class,https://example.org/mod-sbd#AllocateResources,Allocate Resources,"Allocate time, authority, funding, personnel or support needed for cybersecurity activities.",https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,A programme integrating relevant safety and security risk management activities.,2,0.047586,very low textual similarity,False
class,https://example.org/mod-sbd#AllocateResources,Allocate Resources,"Allocate time, authority, funding, personnel or support needed for cybersecurity activities.",https://example.org/ontology/sora#FlightLog,FlightLog,A log of UAS activities and relevant security events used for subsequent analysis.,3,0.041325,very low textual similarity,False
