mapping_id,source_type,target_type,source_iri,source_label,source_definition,target_iri,target_label,target_definition,logmap_score,manual_classification,assurance_relevance,reviewer_decision,review_notes
1,class,class,https://example.org/mod-sbd#Component,Component,A component acquired for a programme or capability and considered in cyber-resilient design.,https://example.org/ontology/sora#Component,Component,"A hardware, software, material, equipment, or other constituent element relevant to the UAS or support system.",0.72,,,,
2,class,class,https://example.org/mod-sbd#SecurityMechanism,Security Mechanism,A technical or procedural mechanism used to provide a security or resilience function.,https://example.org/ontology/sora#SecurityMechanism,SecurityMechanism,"A security mechanism or control approach such as access control, encryption, anti-replay, digital signatures, hashes, malware protection, or wireless protection.",0.6,,,,
3,class,class,https://example.org/mod-sbd#CyberRisk,Cyber Risk,"Risk arising from cybersecurity threats, vulnerabilities, dependencies or failures that may affect programme capabilities or essential functions.",https://example.org/ontology/sora#CyberRisk,CyberRisk,Risk arising from cyber threats affecting the UAS operation or its supporting systems.,1.06,,,,
4,class,class,https://example.org/mod-sbd#Service,Service,"A service acquired, used, supported or exited as part of programme delivery.",https://example.org/ontology/sora#Service,Service,A service that supports UAS operations or assurance activities.,0.5,,,,
5,class,class,https://example.org/mod-sbd#Data,Data,"Information essential to programme functioning or security that may be stored, transferred, inventoried, protected or compromised.",https://example.org/ontology/sora#Data,Data,"Data or information relevant to the UAS, operation, or assurance activities.",0.76,,,,
6,class,class,https://example.org/mod-sbd#InformationArtifact,Information Artefact,"A document, record, plan, assessment, inventory, reference or other information-bearing artefact used in programme delivery or assurance.",https://example.org/ontology/sora#InformationArtifact,InformationArtifact,"A data, document, record, or assurance artefact that can be created, maintained, reviewed, or supplied as part of SORA assurance.",0.81,,,,
7,class,class,https://example.org/mod-sbd#HumanError,Human Error,Human error as a socio-technical contributor to cyber risk.,https://example.org/ontology/sora#HumanError,HumanError,A human action/error capable of adversely affecting the safety of the operation.,0.92,,,,
8,class,class,https://example.org/mod-sbd#SecurityPrincipleOrPractice,Security Principle or Practice,A cybersecurity principle or recognised practice expressed by the SbD requirements.,https://example.org/ontology/sora#SecurityPrincipleOrPractice,SecurityPrincipleOrPractice,A named cybersecurity principle or practice referenced by the Cyber Safety Extension.,0.6,,,,
9,class,class,https://example.org/mod-sbd#Standard,Standard,"A normative standard used to guide design, development or assurance.",https://example.org/ontology/sora#Standard,Standard,"A standard used as an accepted design, process, training, or assurance reference.",0.77,,,,
10,class,class,https://example.org/mod-sbd#Programme,Programme,The Defence acquisition/development/delivery programme within which SbD activity is governed across the capability lifecycle.,https://example.org/ontology/sora#Programme,Programme,A structured organisational programme maintained for a defined assurance purpose.,0.75,,,,
11,class,class,https://example.org/mod-sbd#System,System,"A technical or socio-technical system subject to acquisition, use, exit, risk assessment or security controls.",https://example.org/ontology/sora#System,System,A technical system considered by SORA requirements.,0.74,,,,
12,class,class,https://example.org/mod-sbd#Activity,Activity,"An action, process or practice performed to satisfy or support SbD requirements.",https://example.org/ontology/sora#Activity,Activity,"A performed action, process, or event relevant to satisfying or evidencing a SORA requirement.",0.5,,,,
13,class,class,https://example.org/mod-sbd#LifecycleContext,Lifecycle Context,A lifecycle stage or cross-lifecycle context in which an SbD requirement may apply.,https://example.org/ontology/sora#LifecycleContext,LifecycleContext,"A controlled lifecycle or operational context in which a requirement, activity, or assurance expectation applies.",0.85,,,,
14,class,class,https://example.org/mod-sbd#Risk,Risk,A potential for adverse consequence considered in programme cybersecurity decision-making.,https://example.org/ontology/sora#Risk,Risk,A SORA-relevant risk combining likelihood/frequency and consequence/severity.,0.81,,,,
15,class,class,https://example.org/mod-sbd#SecurityPlan,Security Plan,The programme security plan requested as an assurance artefact.,https://example.org/ontology/sora#Plan,Plan,"A documented plan for a defined operational, organisational, or response purpose.",0.51,,,,
16,class,class,https://example.org/mod-sbd#SecurityProperty,Security Property,A cybersecurity property or objective that SbD requirements seek to protect or achieve.,https://example.org/ontology/sora#SecurityProperty,SecurityProperty,"A protected cybersecurity attribute or capability, such as confidentiality, integrity, availability, authenticity, or resilience.",0.6,,,,
17,class,class,https://example.org/mod-sbd#Organisation,Organisation,"An organisational entity that owns, governs, staffs or performs programme or security activities.",https://example.org/ontology/sora#Organisation,Organisation,An organisational actor participating in the SORA assurance or UAS operational context.,0.5,,,,
18,individual,individual,https://example.org/mod-sbd#DSTL-SbD07-Criterion_02,Reporting,,https://example.org/ontology/sora#Report,Report,,0.88,,,,
19,individual,individual,https://example.org/mod-sbd#DSTL-SbD03-Criterion_01,Risk Management,,https://example.org/ontology/sora#CY-OSO01-I-Criterion_04,Risk management programme,,0.85,,,,
20,individual,individual,https://example.org/mod-sbd#DSTL-SbD05-Criterion_02,Supply Chain Risk Management,,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,Supply chain management,,0.95,,,,
21,individual,individual,https://example.org/mod-sbd#DSTL-SbD05-Criterion_01,Supply Chain Risk Management,,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,Supply chain management,,0.95,,,,
