matcher,source_iri,target_iri,confidence
LogMap,https://example.org/mod-sbd#Component,https://example.org/ontology/sora#Component,0.72
LogMap,https://example.org/mod-sbd#SecurityMechanism,https://example.org/ontology/sora#SecurityMechanism,0.6
LogMap,https://example.org/mod-sbd#CyberRisk,https://example.org/ontology/sora#CyberRisk,1.06
LogMap,https://example.org/mod-sbd#Service,https://example.org/ontology/sora#Service,0.5
LogMap,https://example.org/mod-sbd#Data,https://example.org/ontology/sora#Data,0.76
LogMap,https://example.org/mod-sbd#InformationArtifact,https://example.org/ontology/sora#InformationArtifact,0.81
LogMap,https://example.org/mod-sbd#HumanError,https://example.org/ontology/sora#HumanError,0.92
LogMap,https://example.org/mod-sbd#SecurityPrincipleOrPractice,https://example.org/ontology/sora#SecurityPrincipleOrPractice,0.6
LogMap,https://example.org/mod-sbd#Standard,https://example.org/ontology/sora#Standard,0.77
LogMap,https://example.org/mod-sbd#Programme,https://example.org/ontology/sora#Programme,0.75
LogMap,https://example.org/mod-sbd#System,https://example.org/ontology/sora#System,0.74
LogMap,https://example.org/mod-sbd#Activity,https://example.org/ontology/sora#Activity,0.5
LogMap,https://example.org/mod-sbd#LifecycleContext,https://example.org/ontology/sora#LifecycleContext,0.85
LogMap,https://example.org/mod-sbd#Risk,https://example.org/ontology/sora#Risk,0.81
LogMap,https://example.org/mod-sbd#SecurityPlan,https://example.org/ontology/sora#Plan,0.51
LogMap,https://example.org/mod-sbd#SecurityProperty,https://example.org/ontology/sora#SecurityProperty,0.6
LogMap,https://example.org/mod-sbd#Organisation,https://example.org/ontology/sora#Organisation,0.5
LogMap,https://example.org/mod-sbd#DSTL-SbD07-Criterion_02,https://example.org/ontology/sora#Report,0.88
LogMap,https://example.org/mod-sbd#DSTL-SbD03-Criterion_01,https://example.org/ontology/sora#CY-OSO01-I-Criterion_04,0.85
LogMap,https://example.org/mod-sbd#DSTL-SbD05-Criterion_02,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,0.95
LogMap,https://example.org/mod-sbd#DSTL-SbD05-Criterion_01,https://example.org/ontology/sora#CY-OSO03-I-Criterion_02,0.95
AML,https://example.org/mod-sbd#protects,https://example.org/ontology/sora#protects,1.0
AML,https://example.org/mod-sbd#hasRole,https://example.org/ontology/sora#hasRole,1.0
