review_candidate_number,source_iri,source_label,source_comment,candidate_rank,target_iri,target_label,target_comment,label_similarity,context_similarity,combined_similarity,ranking_band,reciprocal_best,manual_classification,assurance_relevance,reviewer_decision,review_notes,source_definition,target_definition,review_basis
1,https://example.org/mod-sbd#SecurityMechanism,Security Mechanism,A technical or procedural mechanism used to provide a security or resilience function.,1,https://example.org/ontology/sora#SecurityMechanism,SecurityMechanism,"A security mechanism or control approach such as access control, encryption, anti-replay, digital signatures, hashes, malware protection, or wireless protection.",0.772678,0.1281,0.547076,medium review priority,True,Full,,,,A technical or procedural mechanism used to provide a security or resilience function.,"A security mechanism or control approach such as access control, encryption, anti-replay, digital signatures, hashes, malware protection, or wireless protection.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
2,https://example.org/mod-sbd#SecurityPlan,Security Plan,The programme security plan requested as an assurance artefact.,1,https://example.org/ontology/sora#Plan,Plan,"A documented plan for a defined operational, organisational, or response purpose.",0.753408,0.16025,0.545802,medium review priority,True,Partial,,,,The programme security plan requested as an assurance artefact.,"A documented plan for a defined operational, organisational, or response purpose.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
3,https://example.org/mod-sbd#EvidenceRecord,Evidence Record,"A record or documented evidence item showing that an assurance-relevant activity, event or review occurred.",1,https://example.org/ontology/sora#Record,Record,"A retained record of an activity, status, qualification, maintenance action, or other assurance-relevant fact.",0.688366,0.206277,0.519635,medium review priority,True,Full,,,,"A record or documented evidence item showing that an assurance-relevant activity, event or review occurred.","A retained record of an activity, status, qualification, maintenance action, or other assurance-relevant fact.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
4,https://example.org/mod-sbd#SecurityPrincipleOrPractice,Security Principle or Practice,A cybersecurity principle or recognised practice expressed by the SbD requirements.,1,https://example.org/ontology/sora#SecurityPrincipleOrPractice,SecurityPrincipleOrPractice,A named cybersecurity principle or practice referenced by the Cyber Safety Extension.,0.617816,0.290801,0.503361,medium review priority,True,Full,,,,A cybersecurity principle or recognised practice expressed by the SbD requirements.,A named cybersecurity principle or practice referenced by the Cyber Safety Extension.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
5,https://example.org/mod-sbd#SecurityProperty,Security Property,A cybersecurity property or objective that SbD requirements seek to protect or achieve.,1,https://example.org/ontology/sora#SecurityProperty,SecurityProperty,"A protected cybersecurity attribute or capability, such as confidentiality, integrity, availability, authenticity, or resilience.",0.764001,0.016864,0.502503,medium review priority,True,Full,,,,A cybersecurity property or objective that SbD requirements seek to protect or achieve.,"A protected cybersecurity attribute or capability, such as confidentiality, integrity, availability, authenticity, or resilience.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
6,https://example.org/mod-sbd#ThreatActorRole,Threat Actor,"An adversarial role whose objectives, perspective or actions are considered in threat analysis.",1,https://example.org/ontology/sora#Actor,Actor,"A person or organisation that can participate in, be responsible for, or provide services relevant to SORA assurance.",0.735161,0.034414,0.4899,medium review priority,True,Partial,,,,"An adversarial role whose objectives, perspective or actions are considered in threat analysis.","A person or organisation that can participate in, be responsible for, or provide services relevant to SORA assurance.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
7,https://example.org/mod-sbd#TrainingEvidence,Training Record or Evidence,"Evidence that required personnel training has been delivered, maintained or assessed.",1,https://example.org/ontology/sora#TrainingRecord,TrainingRecord,A retained record of training completed or competence evidence.,0.617023,0.19049,0.467737,medium review priority,True,Partial,,,,"Evidence that required personnel training has been delivered, maintained or assessed.",A retained record of training completed or competence evidence.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
8,https://example.org/mod-sbd#RiskCommunication,Risk Communication,Conduct structured two-way communication of cybersecurity risks across organisational and supply-chain boundaries.,1,https://example.org/ontology/sora#CommunicationLink,CommunicationLink,A communications link used by the UAS or supporting systems.,0.704167,0.0,0.457709,medium review priority,True,Weak,,,,Conduct structured two-way communication of cybersecurity risks across organisational and supply-chain boundaries.,A communications link used by the UAS or supporting systems.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
9,https://example.org/mod-sbd#DocumentedEvidence,Documented Evidence,Documented information used to demonstrate or support fulfilment of an SbD requirement.,1,https://example.org/ontology/sora#Document,Document,"A documentary information artefact used to define, support, or evidence SORA compliance.",0.633296,0.101013,0.446997,low review priority,True,Partial,,,,Documented information used to demonstrate or support fulfilment of an SbD requirement.,"A documentary information artefact used to define, support, or evidence SORA compliance.",Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
10,https://example.org/mod-sbd#AssessmentStage,Assessment,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.,1,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,0.584522,0.117739,0.421148,low review priority,True,Partial,,,,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.,A documented safety assessment used to support SORA assurance.,Manual comparison of labels and ontology definitions; candidate is supplementary and not a BERTMap-generated mapping
