Evidence ID,Candidate Number,Matcher,Evaluation Scope,Entity Type,Source IRI,Source Entity,Source Definition,Target IRI,Target Entity,Target Definition,Candidate Rank,Similarity,Ranking Band,Reciprocal Best,Assurance Classification,Review Basis
LOGMAP-U-001,1,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#SbDCriterion,SbD Criterion,An official source criterion/evidence-area used to organise SbD requirements.,https://example.org/ontology/sora#Criterion,Criterion,A criterion grouping within an OSO under which requirement clauses are organised.,1,0.633629,medium review priority,True,Full,
LOGMAP-U-002,2,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#EvidenceRecord,Evidence Record,"A record or documented evidence item showing that an assurance-relevant activity, event or review occurred.",https://example.org/ontology/sora#Record,Record,"A retained record of an activity, status, qualification, maintenance action, or other assurance-relevant fact.",1,0.492546,medium review priority,True,Partial,
LOGMAP-U-003,3,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#ThreatActorRole,Threat Actor,"An adversarial role whose objectives, perspective or actions are considered in threat analysis.",https://example.org/ontology/sora#Actor,Actor,"A person or organisation that can participate in, be responsible for, or provide services relevant to SORA assurance.",1,0.484516,medium review priority,True,Partial,
LOGMAP-U-004,4,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#TrainingEvidence,Training Record or Evidence,"Evidence that required personnel training has been delivered, maintained or assessed.",https://example.org/ontology/sora#TrainingRecord,TrainingRecord,A retained record of training completed or competence evidence.,1,0.458714,medium review priority,True,Full,
LOGMAP-U-005,5,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#RiskCommunication,Risk Communication,Conduct structured two-way communication of cybersecurity risks across organisational and supply-chain boundaries.,https://example.org/ontology/sora#CommunicationLink,CommunicationLink,A communications link used by the UAS or supporting systems.,1,0.454591,medium review priority,True,Missing,
LOGMAP-U-006,6,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#DocumentedEvidence,Documented Evidence,Documented information used to demonstrate or support fulfilment of an SbD requirement.,https://example.org/ontology/sora#Document,Document,"A documentary information artefact used to define, support, or evidence SORA compliance.",1,0.429848,low review priority,True,Partial,
LOGMAP-U-007,7,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#Function,Function,A function performed by or supported by a capability.,https://example.org/ontology/sora#SecurityFunction,SecurityFunction,A cybersecurity function or process such as authentication or authorisation.,1,0.421127,low review priority,True,Partial,
LOGMAP-U-008,8,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#AssessmentStage,Assessment,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,1,0.420922,low review priority,True,Weak,
LOGMAP-U-009,9,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#OperationalContext,Operational Context,The operational circumstances in which capabilities are provided and used.,https://example.org/ontology/sora#OperationalContextElement,OperationalContextElement,"A non-actor element describing an operational boundary, configuration, resource, or environmental condition.",1,0.407051,low review priority,True,Partial,
LOGMAP-U-010,10,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#Personnel,Personnel,"Staff or personnel performing programme, security, operational, disposal, response or recovery activities.",https://example.org/ontology/sora#Person,Person,A human actor participating in the SORA assurance or UAS operational context.,1,0.400028,low review priority,True,Partial,
LOGMAP-U-011,11,LogMap,"Reciprocal candidates across classes, object properties, data properties and individuals",class,https://example.org/mod-sbd#DesignStandard,Design Standard,A design standard into which lessons learned and improvement information may be incorporated.,https://example.org/ontology/sora#AirworthinessDesignStandard,AirworthinessDesignStandard,An Airworthiness Design Standard used for UAS components essential to safe operations.,1,0.392857,low review priority,True,Partial,
