ontology_side,entity_type,entity_iri,label,description
source_SbD,class,https://example.org/mod-sbd#Accountability,Accountability,Clear assignment of responsibility for cybersecurity and risk decisions.
source_SbD,class,https://example.org/mod-sbd#AcquireSecurely,Acquire Securely,"Acquire systems, services, components or resources with cybersecurity considerations built into procurement."
source_SbD,class,https://example.org/mod-sbd#AcquisitionAndSupplyChainActivity,Acquisition and Supply-Chain Activity,"An activity used to acquire securely, conduct supplier due diligence, obtain assurance or flow requirements through the supply chain."
source_SbD,class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function."
source_SbD,class,https://example.org/mod-sbd#AllocateResources,Allocate Resources,"Allocate time, authority, funding, personnel or support needed for cybersecurity activities."
source_SbD,class,https://example.org/mod-sbd#AnalyseRisk,Analyse Risk,Analyse identified cyber risks.
source_SbD,class,https://example.org/mod-sbd#Architecture,Architecture,"The capability or programme architecture that is reviewed, tested, evaluated and improved for cyber resilience."
source_SbD,class,https://example.org/mod-sbd#ArtefactReference,Artefact Reference,A direct reference or link to a named programme assurance artefact.
source_SbD,class,https://example.org/mod-sbd#AssessmentStage,Assessment,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.
source_SbD,class,https://example.org/mod-sbd#AssuranceEvidence,Assurance Evidence,"An information-bearing artefact used to demonstrate, support, verify or review fulfilment of a cybersecurity expectation."
source_SbD,class,https://example.org/mod-sbd#AssuranceSecurityPractice,Assurance Security Practice,"A security practice concerned with ongoing assurance, testing or verification."
source_SbD,class,https://example.org/mod-sbd#AtomicRequirementClause,Atomic Requirement Clause,An analytical clause-level obligation candidate decomposed from an official SbD requirement.
source_SbD,class,https://example.org/mod-sbd#AttackScenario,Attack Scenario,A plausible scenario describing how a threat actor may pursue an objective against the programme or capability.
source_SbD,class,https://example.org/mod-sbd#AttackTechnique,Attack Method or Technique,A method or technique by which a threat actor could attack or analyse a system.
source_SbD,class,https://example.org/mod-sbd#Backup,Backup,A protected and tested copy or recovery resource used to support continuity or recovery.
source_SbD,class,https://example.org/mod-sbd#BusinessContinuity,Business Continuity,Maintain essential functions during disruption or incidents.
source_SbD,class,https://example.org/mod-sbd#BusinessContinuityPlan,Business Continuity Plan,A plan for maintaining essential functions during disruption or incident.
source_SbD,class,https://example.org/mod-sbd#CADMIDStage,CADMID Stage,"A Concept, Assessment, Demonstration, Manufacture, In-Service or Disposal stage used to express MOD lifecycle applicability."
source_SbD,class,https://example.org/mod-sbd#Capability,Capability,"A delivered programme capability whose essential functions, risk, architecture, controls and through-life security are governed."
source_SbD,class,https://example.org/mod-sbd#CapabilityTeam,Capability Team,A team responsible for aspects of capability delivery and cybersecurity responsibilities.
source_SbD,class,https://example.org/mod-sbd#CaptureLessonsLearned,Capture Lessons Learned,"Capture and feed lessons from delivery, incidents or exercises back into programme and development practice."
source_SbD,class,https://example.org/mod-sbd#CommunicateSecurityInformation,Communicate Security Information,"Communicate cybersecurity decisions, responsibilities, risks or information to relevant parties."
source_SbD,class,https://example.org/mod-sbd#Compromise,Compromise,"Loss or degradation of security affecting a capability, data or essential function."
source_SbD,class,https://example.org/mod-sbd#ConceptStage,Concept,CADMID Concept stage; used only where the requirement has a plausible early lifecycle applicability.
source_SbD,class,https://example.org/mod-sbd#ConductForensics,Conduct Forensics,Perform tested forensic processes to develop a documented understanding of an incident.
source_SbD,class,https://example.org/mod-sbd#ConductRiskAssessment,Conduct Risk Assessment,"Assess cyber risk using relevant threat, vulnerability, likelihood, impact and contextual information."
source_SbD,class,https://example.org/mod-sbd#ConductRootCauseAnalysis,Conduct Root Cause Analysis,Identify root causes and impacts during post-incident analysis.
source_SbD,class,https://example.org/mod-sbd#ConductThreatAnalysis,Conduct Threat Analysis,Analyse systems from a threat-actor perspective and anticipate probable attack methods.
source_SbD,class,https://example.org/mod-sbd#ConductThreatAssessment,Conduct Threat Assessment,Assess relevant cyber threats and maintain the assessment over time.
source_SbD,class,https://example.org/mod-sbd#Context,Context,Circumstances that shape programme and capability cybersecurity.
source_SbD,class,https://example.org/mod-sbd#ContextualConcept,Contextual Concept,"A mission, context, objective, expectation or operational state needed to interpret SbD requirements."
source_SbD,class,https://example.org/mod-sbd#ContinuousAssurance,Continuous Assurance,"Maintain assurance through recurring testing, monitoring, review and evidence across the lifecycle."
source_SbD,class,https://example.org/mod-sbd#ContinuousRiskManagement,Continuous Risk Management,"Maintain risk understanding and treatment as context, threats and technology change over time."
source_SbD,class,https://example.org/mod-sbd#Contract,Contract,A contractual artefact used to acquire resources and impose security or risk-treatment provisions.
source_SbD,class,https://example.org/mod-sbd#CyberResilientArchitecture,Cyber-Resilient Architecture,Review and improve architecture to support resilient capability delivery.
source_SbD,class,https://example.org/mod-sbd#CyberResilientDesign,Cyber-Resilient Design,"Design capability components, support and resourcing with cyber resilience considered."
source_SbD,class,https://example.org/mod-sbd#CyberRiskAssessment,Cyber Risk Assessment,"A structured assessment of cyber risk considering relevant threat, vulnerability, likelihood, impact and contextual information."
source_SbD,class,https://example.org/mod-sbd#CyberSecurityStrategy,Cyber Security Strategy,A formally documented programme cybersecurity strategy based on organisational context and reviewed as threats and mission change.
source_SbD,class,https://example.org/mod-sbd#Cyberattack,Cyberattack,"A cyber attack whose methods, techniques and impact on essential functions are considered."
source_SbD,class,https://example.org/mod-sbd#CybersecurityDecision,Cybersecurity Decision,"A decision relating to cybersecurity, risk or programme action informed by relevant information."
source_SbD,class,https://example.org/mod-sbd#Decision,Decision,"A decision or approval that influences programme, capability or cybersecurity action."
source_SbD,class,https://example.org/mod-sbd#DecisionMakerRole,Decision Maker,A role responsible for using security information to make programme or risk decisions.
source_SbD,class,https://example.org/mod-sbd#DefineRolesAndResponsibilities,Define Roles and Responsibilities,"Define and assign cybersecurity roles, responsibilities and accountabilities."
source_SbD,class,https://example.org/mod-sbd#DefineSecurityRequirements,Define Security Requirements,Define security requirements from risk and incorporate them into programme or procurement artefacts.
