review_number,entity_type,source_iri,source_label,source_definition,candidate_rank,target_iri,target_label,target_definition,label_similarity,context_similarity,combined_similarity,ranking_band,reciprocal_best,manual_classification,assurance_relevance,reviewer_decision,review_notes
1,object_property,https://example.org/mod-sbd#protects,protects,"Relates a security control, activity or security practice to the managed/protected object it protects.",1,https://example.org/ontology/sora#protects,protects,Links a requirement element or security mechanism to the security property or safety objective it protects.,1.0,0.276607,0.746812,high review priority,True,Partial,,Accept,
2,object_property,https://example.org/mod-sbd#records,records,"Relates an activity or organisational concept to a record, inventory or documented evidence item it creates or maintains.",1,https://example.org/ontology/sora#records,records,Links an actor or system to a Record or Log that it records or maintains.,1.0,0.201656,0.72058,high review priority,True,Partial,,Accept,
3,object_property,https://example.org/mod-sbd#monitors,monitors,"Relates a monitoring activity to risk, controls, remediation, capabilities, mechanisms or other monitored subjects.",1,https://example.org/ontology/sora#monitors,monitors,"Links an actual actor or system to a system, service, performance characteristic, condition, log, or threat context that it monitors.",1.0,0.087334,0.680567,medium review priority,True,Partial,,Accept,
4,object_property,https://example.org/mod-sbd#addressesRiskConcept,addresses risk concept,"Links an SbD requirement to a threat, vulnerability, risk, adverse event or related risk concept addressed by it.",1,https://example.org/ontology/sora#addresses,addresses,"Links a requirement element or activity to a risk, threat, hazard, failure, human error, event, or adverse condition that it addresses.",0.643701,0.193313,0.486065,medium review priority,True,Partial,,Accept,
5,object_property,https://example.org/mod-sbd#hasSourceCriterion,has source criterion,Associates an SbD requirement with the official SbD criterion/evidence area from which it originates.,1,https://example.org/ontology/sora#hasCriterion,hasCriterion,Links a SORA requirement element to its source criterion.,0.518856,0.24168,0.421844,low review priority,True,Full,,Accept,
6,object_property,https://example.org/mod-sbd#requiresActivity,requires activity,Indicates an activity that must be performed to satisfy an SbD requirement.,1,https://example.org/ontology/sora#requiresActivityType,requiresActivityType,States that satisfaction of a SORA requirement entails an activity or process of the specified type.,0.561889,0.039046,0.378894,low review priority,True,Partial,,Accept,
7,object_property,https://example.org/mod-sbd#performs,performs,Associates an organisational concept with an activity it performs.,1,https://example.org/ontology/sora#performsActivity,performsActivity,"Links an actual actor to an actual performed assurance, operational, maintenance, training, audit, or other activity.",0.569632,0.012306,0.374568,low review priority,True,Partial,,Accept,
8,object_property,https://example.org/mod-sbd#supports,supports,"Indicates that a process, control, activity, resource or managed object supports a function, decision, objective or other capability concern.",1,https://example.org/ontology/sora#supportedByEvidence,supportedByEvidence,Links an AssuranceClaim to evidence that supports the claim.,0.454766,0.106396,0.332836,low review priority,True,Missing,,Reject,
9,object_property,https://example.org/mod-sbd#hasRole,has role,Associates a programme or organisation with a role that exists within its SbD governance or delivery context.,1,https://example.org/ontology/sora#hasRole,hasRole,Links a person or organisation to a source-defined SORA actor role it bears.,0.438549,0.0901,0.316592,low review priority,True,Partial,,Accept,
10,object_property,https://example.org/mod-sbd#partOfRequirement,part of requirement,Links an atomic requirement clause candidate back to its official parent SbD requirement.,1,https://example.org/ontology/sora#inheritsRequirement,inheritsRequirement,Links a higher-robustness requirement element to lower-robustness requirement content explicitly inherited through 'Same as Low/Medium' constructs.,0.445024,0.055299,0.30862,low review priority,True,Missing,,Reject,
