review_number,entity_type,source_iri,source_label,source_definition,candidate_rank,target_iri,target_label,target_definition,label_similarity,context_similarity,combined_similarity,ranking_band,reciprocal_best,manual_classification,assurance_relevance,reviewer_decision,review_notes
1,class,https://example.org/mod-sbd#SbDCriterion,SbD Criterion,An official source criterion/evidence-area used to organise SbD requirements.,1,https://example.org/ontology/sora#Criterion,Criterion,A criterion grouping within an OSO under which requirement clauses are organised.,0.873093,0.188911,0.633629,medium review priority,True,Full,,Accept,
2,class,https://example.org/mod-sbd#EvidenceRecord,Evidence Record,"A record or documented evidence item showing that an assurance-relevant activity, event or review occurred.",1,https://example.org/ontology/sora#Record,Record,"A retained record of an activity, status, qualification, maintenance action, or other assurance-relevant fact.",0.648916,0.202145,0.492546,medium review priority,True,Partial,,Accept,
3,class,https://example.org/mod-sbd#ThreatActorRole,Threat Actor,"An adversarial role whose objectives, perspective or actions are considered in threat analysis.",1,https://example.org/ontology/sora#Actor,Actor,"A person or organisation that can participate in, be responsible for, or provide services relevant to SORA assurance.",0.725262,0.037415,0.484516,medium review priority,True,Partial,,Accept,
4,class,https://example.org/mod-sbd#TrainingEvidence,Training Record or Evidence,"Evidence that required personnel training has been delivered, maintained or assessed.",1,https://example.org/ontology/sora#TrainingRecord,TrainingRecord,A retained record of training completed or competence evidence.,0.606388,0.184463,0.458714,medium review priority,True,Full,,Accept,
5,class,https://example.org/mod-sbd#RiskCommunication,Risk Communication,Conduct structured two-way communication of cybersecurity risks across organisational and supply-chain boundaries.,1,https://example.org/ontology/sora#CommunicationLink,CommunicationLink,A communications link used by the UAS or supporting systems.,0.69937,0.0,0.454591,medium review priority,True,Missing,,Reject,
6,class,https://example.org/mod-sbd#DocumentedEvidence,Documented Evidence,Documented information used to demonstrate or support fulfilment of an SbD requirement.,1,https://example.org/ontology/sora#Document,Document,"A documentary information artefact used to define, support, or evidence SORA compliance.",0.609566,0.096087,0.429848,low review priority,True,Partial,,Accept,
7,class,https://example.org/mod-sbd#Function,Function,A function performed by or supported by a capability.,1,https://example.org/ontology/sora#SecurityFunction,SecurityFunction,A cybersecurity function or process such as authentication or authorisation.,0.571033,0.14273,0.421127,low review priority,True,Partial,,Accept,
8,class,https://example.org/mod-sbd#AssessmentStage,Assessment,CADMID Assessment stage; used only where the requirement has a plausible assessment or acquisition applicability.,1,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,A documented safety assessment used to support SORA assurance.,0.587138,0.112235,0.420922,low review priority,True,Weak,,Investigate,
9,class,https://example.org/mod-sbd#OperationalContext,Operational Context,The operational circumstances in which capabilities are provided and used.,1,https://example.org/ontology/sora#OperationalContextElement,OperationalContextElement,"A non-actor element describing an operational boundary, configuration, resource, or environmental condition.",0.593012,0.061695,0.407051,low review priority,True,Partial,,Accept,
10,class,https://example.org/mod-sbd#Personnel,Personnel,"Staff or personnel performing programme, security, operational, disposal, response or recovery activities.",1,https://example.org/ontology/sora#Person,Person,A human actor participating in the SORA assurance or UAS operational context.,0.599638,0.029325,0.400028,low review priority,True,Partial,,Accept,
11,class,https://example.org/mod-sbd#DesignStandard,Design Standard,A design standard into which lessons learned and improvement information may be incorporated.,1,https://example.org/ontology/sora#AirworthinessDesignStandard,AirworthinessDesignStandard,An Airworthiness Design Standard used for UAS components essential to safe operations.,0.464448,0.259903,0.392857,low review priority,True,Partial,,Accept,
12,class,https://example.org/mod-sbd#SinglePointOfFailure,Single Point of Failure,A dependency on a single role or resource whose loss could undermine recovery capability.,1,https://example.org/ontology/sora#Failure,Failure,A failure of the UAS or supporting system relevant to safety or assurance.,0.545565,0.090189,0.386184,low review priority,True,Partial,,Accept,
