mapping_id,source_type,target_type,source_iri,source_label,source_definition,source_domain,source_range,target_iri,target_label,target_definition,target_domain,target_range,relation,aml_score,manual_classification,assurance_relevance,reviewer_decision,review_notes,classification_reason
1,object_property,object_property,https://example.org/mod-sbd#protects,protects,"Relates a security control, activity or security practice to the managed/protected object it protects.",[anonymous class expression],Managed or Protected Object,https://example.org/ontology/sora#protects,protects,Links a requirement element or security mechanism to the security property or safety objective it protects.,[anonymous class expression],SecurityAndSafetyConcept,=,1.0,Partial,,,,"Both express protection, but their permitted subjects and protected objects differ."
2,object_property,object_property,https://example.org/mod-sbd#hasRole,has role,Associates a programme or organisation with a role that exists within its SbD governance or delivery context.,[anonymous class expression],Role,https://example.org/ontology/sora#hasRole,hasRole,Links a person or organisation to a source-defined SORA actor role it bears.,Actor,ActorRole,=,1.0,Partial,,,,"Both assign roles, but the SbD relationship includes programmes as well as organisations."
3,object_property,object_property,https://example.org/mod-sbd#records,records,"Relates an activity or organisational concept to a record, inventory or documented evidence item it creates or maintains.",[anonymous class expression],Information Artefact,https://example.org/ontology/sora#records,records,Links an actor or system to a Record or Log that it records or maintains.,[anonymous class expression],Record,=,1.0,Partial,,,,"Both concern record creation or maintenance, but the target is restricted to records and logs."
4,object_property,object_property,https://example.org/mod-sbd#monitors,monitors,"Relates a monitoring activity to risk, controls, remediation, capabilities, mechanisms or other monitored subjects.",Activity,[anonymous class expression],https://example.org/ontology/sora#monitors,monitors,"Links an actual actor or system to a system, service, performance characteristic, condition, log, or threat context that it monitors.",[anonymous class expression],SORAConcept,=,1.0,Partial,,,,"Both express monitoring, but their domains and monitored subjects differ."
5,class,class,https://example.org/mod-sbd#Component,Component,A component acquired for a programme or capability and considered in cyber-resilient design.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#Component,Component,"A hardware, software, material, equipment, or other constituent element relevant to the UAS or support system.",[Not explicitly stated],[Not explicitly stated],=,0.99,Partial,,,,"Same component concept, but scoped to different operational domains."
6,class,class,https://example.org/mod-sbd#Standard,Standard,"A normative standard used to guide design, development or assurance.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#Standard,Standard,"A standard used as an accepted design, process, training, or assurance reference.",[Not explicitly stated],[Not explicitly stated],=,0.9899,Full,,,,Equivalent normative standard concepts.
7,class,class,https://example.org/mod-sbd#HumanError,Human Error,Human error as a socio-technical contributor to cyber risk.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#HumanError,HumanError,A human action/error capable of adversely affecting the safety of the operation.,[Not explicitly stated],[Not explicitly stated],=,0.9878,Partial,,,,"Same human-error concept, with cybersecurity and operational-safety scope differences."
8,class,class,https://example.org/mod-sbd#Programme,Programme,The Defence acquisition/development/delivery programme within which SbD activity is governed across the capability lifecycle.,[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#Programme,Programme,A structured organisational programme maintained for a defined assurance purpose.,[Not explicitly stated],[Not explicitly stated],=,0.9873,Partial,,,,"Both represent programmes, but their acquisition and assurance scopes differ."
9,class,class,https://example.org/mod-sbd#Service,Service,"A service acquired, used, supported or exited as part of programme delivery.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#Service,Service,A service that supports UAS operations or assurance activities.,[Not explicitly stated],[Not explicitly stated],=,0.9856,Partial,,,,Same service concept in different programme and operational contexts.
10,class,class,https://example.org/mod-sbd#Organisation,Organisation,"An organisational entity that owns, governs, staffs or performs programme or security activities.",[Not explicitly stated],[Not explicitly stated],https://example.org/ontology/sora#Organisation,Organisation,An organisational actor participating in the SORA assurance or UAS operational context.,[Not explicitly stated],[Not explicitly stated],=,0.9817,Full,,,,Equivalent organisational-actor concepts.
