entity_type,source_iri,source_label,source_definition,candidate_rank,target_iri,target_label,target_definition,label_similarity,context_similarity,combined_similarity,ranking_band,reciprocal_best,manual_classification,assurance_relevance,reviewer_decision,review_notes
class,https://example.org/mod-sbd#Accountability,Accountability,Clear assignment of responsibility for cybersecurity and risk decisions.,1,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference,A SORA element whose primary semantics are applicability or cross-reference to another requirement/source section.,0.153227,0.0,0.099598,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Accountability,Accountability,Clear assignment of responsibility for cybersecurity and risk decisions.,2,https://example.org/ontology/sora#Accreditation,Accreditation,A recognised accreditation used to support assurance.,0.080095,0.0,0.052062,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#Accountability,Accountability,Clear assignment of responsibility for cybersecurity and risk decisions.,3,https://example.org/ontology/sora#RobustnessLevel,RobustnessLevel,"The SORA Low, Medium, or High robustness level used in OSO requirement assignment. Not Required (NR) is an assignment status, not a robustness level.",0.0,0.086511,0.030279,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AcquireSecurely,Acquire Securely,"Acquire systems, services, components or resources with cybersecurity considerations built into procurement.",1,https://example.org/ontology/sora#SORARequirement,SORARequirement,An official claimable SORA obligation from the controlled requirements register.,0.126916,0.0,0.082496,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AcquireSecurely,Acquire Securely,"Acquire systems, services, components or resources with cybersecurity considerations built into procurement.",2,https://example.org/ontology/sora#SecurityFunction,SecurityFunction,A cybersecurity function or process such as authentication or authorisation.,0.096526,0.020621,0.069959,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AcquireSecurely,Acquire Securely,"Acquire systems, services, components or resources with cybersecurity considerations built into procurement.",3,https://example.org/ontology/sora#SORARequirementElement,SORARequirementElement,A source or analytical element used to represent SORA requirement structure.,0.099356,0.0,0.064581,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AcquisitionAndSupplyChainActivity,Acquisition and Supply-Chain Activity,"An activity used to acquire securely, conduct supplier due diligence, obtain assurance or flow requirements through the supply chain.",1,https://example.org/ontology/sora#ActivityType,ActivityType,"A controlled vocabulary entry identifying the kind of activity required or performed, such as audit, test, validation, monitoring, maintenance, or training.",0.260728,0.029504,0.1798,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AcquisitionAndSupplyChainActivity,Acquisition and Supply-Chain Activity,"An activity used to acquire securely, conduct supplier due diligence, obtain assurance or flow requirements through the supply chain.",2,https://example.org/ontology/sora#OperationalCondition,OperationalCondition,A condition affecting the operation or the applicability/effectiveness of requirements.,0.092698,0.022978,0.068296,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AcquisitionAndSupplyChainActivity,Acquisition and Supply-Chain Activity,"An activity used to acquire securely, conduct supplier due diligence, obtain assurance or flow requirements through the supply chain.",3,https://example.org/ontology/sora#Actor,Actor,"A person or organisation that can participate in, be responsible for, or provide services relevant to SORA assurance.",0.081173,0.014714,0.057912,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",1,https://example.org/ontology/sora#SecurityEventType,SecurityEventType,"A controlled type of security event or indicator, such as anomaly, suspicious activity, malicious activity, or security breach.",0.291804,0.128656,0.234702,very low textual similarity,True,,,,
class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",2,https://example.org/ontology/sora#AdverseEnvironmentalCondition,AdverseEnvironmentalCondition,An adverse environmental condition relevant to UAS design or operation.,0.293687,0.098003,0.225197,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AdverseSecurityEvent,Adverse Security Event,"An adverse cybersecurity event affecting a capability, system, data or essential function.",3,https://example.org/ontology/sora#SecurityFunction,SecurityFunction,A cybersecurity function or process such as authentication or authorisation.,0.181295,0.07156,0.142888,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AllocateResources,Allocate Resources,"Allocate time, authority, funding, personnel or support needed for cybersecurity activities.",1,https://example.org/ontology/sora#SourceDocument,SourceDocument,A controlled SORA source document from which requirements and provenance are derived.,0.208735,0.0,0.135677,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AllocateResources,Allocate Resources,"Allocate time, authority, funding, personnel or support needed for cybersecurity activities.",2,https://example.org/ontology/sora#Certificate,Certificate,A certificate used as evidence of recognised status or qualification.,0.12256,0.0,0.079664,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AllocateResources,Allocate Resources,"Allocate time, authority, funding, personnel or support needed for cybersecurity activities.",3,https://example.org/ontology/sora#FailureSeverityCategory,FailureSeverityCategory,"A controlled severity category for failure conditions, including Major, Hazardous, and Catastrophic.",0.045922,0.0,0.029849,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AnalyseRisk,Analyse Risk,Analyse identified cyber risks.,1,https://example.org/ontology/sora#AnalyticalRequirementElement,AnalyticalRequirementElement,A non-official analytical element introduced to represent the semantics of an official source requirement without altering it.,0.182496,0.0,0.118622,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AnalyseRisk,Analyse Risk,Analyse identified cyber risks.,2,https://example.org/ontology/sora#AnalyticalAtomicObligation,AnalyticalAtomicObligation,A candidate atomic semantic obligation decomposed from one official compound SORA requirement.,0.172663,0.0,0.112231,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AnalyseRisk,Analyse Risk,Analyse identified cyber risks.,3,https://example.org/ontology/sora#SafetyRisk,SafetyRisk,Risk to aviation safety addressed by SORA.,0.112276,0.02097,0.080319,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AnticipateTechnologicalChange,Anticipate Technological Change,Anticipate technological developments that could adversely affect essential systems.,1,https://example.org/ontology/sora#TechnicalAsset,TechnicalAsset,"A technical system, component, communication element, or interface relevant to the SORA requirements.",0.158933,0.0,0.103306,very low textual similarity,False,,,,
class,https://example.org/mod-sbd#AnticipateTechnologicalChange,Anticipate Technological Change,Anticipate technological developments that could adversely affect essential systems.,2,https://example.org/ontology/sora#SafetyCriticalData,SafetyCriticalData,Data whose compromise or unavailability can affect safety-critical activities.,0.04154,0.03787,0.040256,very low textual similarity,False,,,,
